filepath,class_name,label,is_augmented
dataset_procesado\con_augmentacion\cancer\001_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\001_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\001_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\001_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\001_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\001_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\002_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\002_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\002_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\002_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\002_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\002_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\003_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\003_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\003_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\003_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\003_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\003_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\004_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\004_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\004_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\004_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\004_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\004_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\005_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\005_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\005_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\005_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\005_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\005_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\006_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\006_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\006_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\006_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\006_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\006_orig.png,cancer,1,False
